,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
0,0.0037764310836791992,0.0005630254745483398,0.0,0.0,mse,None,None,1,2,"{'criterion': 'mse', 'max_depth': 'None', 'max_features': 'None', 'min_samples_leaf': 1, 'min_samples_split': 2}",,,,,108
1,0.004274129867553711,7.867813110351562e-06,0.0,0.0,mse,None,None,1,19,"{'criterion': 'mse', 'max_depth': 'None', 'max_features': 'None', 'min_samples_leaf': 1, 'min_samples_split': 19}",,,,,56
2,0.0034651756286621094,0.0005714893341064453,0.0,0.0,mse,None,None,1,18,"{'criterion': 'mse', 'max_depth': 'None', 'max_features': 'None', 'min_samples_leaf': 1, 'min_samples_split': 18}",,,,,57
3,0.003437042236328125,0.00048732757568359375,0.0,0.0,mse,None,None,2,2,"{'criterion': 'mse', 'max_depth': 'None', 'max_features': 'None', 'min_samples_leaf': 2, 'min_samples_split': 2}",,,,,58
4,0.0026193857192993164,9.262561798095703e-05,0.0,0.0,mse,None,None,2,19,"{'criterion': 'mse', 'max_depth': 'None', 'max_features': 'None', 'min_samples_leaf': 2, 'min_samples_split': 19}",,,,,59
5,0.0028427839279174805,1.2755393981933594e-05,0.0,0.0,mse,None,None,2,18,"{'criterion': 'mse', 'max_depth': 'None', 'max_features': 'None', 'min_samples_leaf': 2, 'min_samples_split': 18}",,,,,60
6,0.0030517578125,1.1205673217773438e-05,0.0,0.0,mse,None,None,15,2,"{'criterion': 'mse', 'max_depth': 'None', 'max_features': 'None', 'min_samples_leaf': 15, 'min_samples_split': 2}",,,,,61
7,0.003423333168029785,0.0003744363784790039,0.0,0.0,mse,None,None,15,19,"{'criterion': 'mse', 'max_depth': 'None', 'max_features': 'None', 'min_samples_leaf': 15, 'min_samples_split': 19}",,,,,63
8,0.0028432607650756836,0.0004826784133911133,0.0,0.0,mse,None,None,15,18,"{'criterion': 'mse', 'max_depth': 'None', 'max_features': 'None', 'min_samples_leaf': 15, 'min_samples_split': 18}",,,,,54
9,0.002604842185974121,0.0011626482009887695,0.0,0.0,mse,None,auto,1,2,"{'criterion': 'mse', 'max_depth': 'None', 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 2}",,,,,44
10,0.0020835399627685547,0.0006470680236816406,0.0,0.0,mse,None,auto,1,19,"{'criterion': 'mse', 'max_depth': 'None', 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 19}",,,,,38
